time_ms,server,tenant,accepted,rej_limiter,rej_overload,p50_ms,p99_ms,local_limit
1000,srv-a,tA,9,0,0,122.0,137.0,12
1000,srv-a,tB,10,0,0,127.0,136.0,12
1000,srv-b,tA,16,2,0,130.0,155.0,12
1000,srv-b,tB,10,1,0,138.0,167.0,12
1000,srv-c,tA,6,1,0,111.0,130.0,12
1000,srv-c,tB,12,0,0,119.0,134.0,12
2000,srv-a,tA,4,0,0,148.0,166.0,12
2000,srv-a,tB,8,0,0,123.0,205.0,12
2000,srv-b,tA,10,1,0,120.0,174.0,13
2000,srv-b,tB,9,0,0,138.0,158.0,13
2000,srv-c,tA,8,0,0,106.0,137.0,16
2000,srv-c,tB,15,4,0,120.0,204.0,16
3000,srv-a,tA,12,0,0,132.0,198.0,14
3000,srv-a,tB,9,2,0,136.0,191.0,14
3000,srv-b,tA,9,3,0,116.0,139.0,16
3000,srv-b,tB,7,0,0,114.0,145.0,16
3000,srv-c,tA,10,0,0,130.0,139.0,16
3000,srv-c,tB,6,1,0,118.0,130.0,16
4000,srv-a,tA,7,0,0,130.0,135.0,15
4000,srv-a,tB,9,0,0,124.0,143.0,15
4000,srv-b,tA,9,0,0,127.0,139.0,16
4000,srv-b,tB,14,0,0,122.0,162.0,16
4000,srv-c,tA,8,0,0,130.0,143.0,17
4000,srv-c,tB,9,0,0,120.0,136.0,17
5000,srv-a,tA,14,0,0,119.0,188.0,17
5000,srv-a,tB,8,0,0,138.0,204.0,17
5000,srv-b,tA,6,0,0,119.0,135.0,18
5000,srv-b,tB,10,0,0,109.0,135.0,18
5000,srv-c,tA,5,0,0,123.0,135.0,17
5000,srv-c,tB,8,0,0,135.0,138.0,17
6000,srv-a,tA,10,7,0,126.0,223.0,16
6000,srv-a,tB,13,0,0,132.0,198.0,16
6000,srv-b,tA,10,0,0,121.0,139.0,19
6000,srv-b,tB,7,0,0,124.0,144.0,19
6000,srv-c,tA,14,0,0,139.0,254.0,19
6000,srv-c,tB,12,0,0,120.0,209.0,19
7000,srv-a,tA,8,1,0,129.0,147.0,17
7000,srv-a,tB,10,1,0,121.0,136.0,17
7000,srv-b,tA,10,0,0,140.0,203.0,17
7000,srv-b,tB,15,0,0,149.0,230.0,17
7000,srv-c,tA,11,0,0,126.0,139.0,20
7000,srv-c,tB,7,0,0,129.0,231.0,20
8000,srv-a,tA,11,3,0,126.0,139.0,18
8000,srv-a,tB,10,0,0,129.0,209.0,18
8000,srv-b,tA,7,0,0,127.0,184.0,19
8000,srv-b,tB,5,0,0,118.0,134.0,19
8000,srv-c,tA,9,0,0,122.0,133.0,21
8000,srv-c,tB,9,0,0,126.0,164.0,21
9000,srv-a,tA,10,3,0,118.0,154.0,20
9000,srv-a,tB,9,2,0,125.0,207.0,20
9000,srv-b,tA,11,0,0,117.0,138.0,20
9000,srv-b,tB,8,0,0,131.0,139.0,20
9000,srv-c,tA,18,2,0,120.0,154.0,22
9000,srv-c,tB,6,0,0,119.0,130.0,22
10000,srv-a,tA,8,3,0,117.0,147.0,22
10000,srv-a,tB,9,0,0,117.0,139.0,22
10000,srv-b,tA,14,0,0,143.0,189.0,18
10000,srv-b,tB,7,0,0,110.0,182.0,18
10000,srv-c,tA,9,4,0,129.0,139.0,22
10000,srv-c,tB,2,0,0,126.0,126.0,22
11000,srv-a,tA,4,0,0,134.0,134.0,22
11000,srv-a,tB,7,0,0,132.0,134.0,22
11000,srv-b,tA,9,1,0,138.0,222.0,18
11000,srv-b,tB,12,0,0,134.0,188.0,18
11000,srv-c,tA,11,2,0,131.0,158.0,22
11000,srv-c,tB,12,0,0,129.0,138.0,22
12000,srv-a,tA,9,0,0,126.0,139.0,23
12000,srv-a,tB,5,0,0,120.0,133.0,23
12000,srv-b,tA,6,1,0,127.0,174.0,18
12000,srv-b,tB,9,0,0,118.0,155.0,18
12000,srv-c,tA,7,2,0,122.0,139.0,23
12000,srv-c,tB,5,0,0,128.0,135.0,23
13000,srv-a,tA,11,0,0,129.0,206.0,24
13000,srv-a,tB,11,0,0,120.0,138.0,24
13000,srv-b,tA,6,0,0,131.0,132.0,19
13000,srv-b,tB,9,0,0,123.0,139.0,19
13000,srv-c,tA,8,0,0,120.0,132.0,24
13000,srv-c,tB,11,0,0,125.0,147.0,24
