time_ms,server,tenant,accepted,rej_limiter,rej_overload,p50_ms,p99_ms,local_limit
1000,srv-a,tA_noisy,14,14,0,123.0,181.0,12
1000,srv-a,tB_quiet,3,0,0,155.0,204.0,12
1000,srv-b,tA_noisy,14,28,0,119.0,161.0,12
1000,srv-b,tB_quiet,6,1,0,111.0,135.0,12
1000,srv-c,tA_noisy,14,26,0,128.0,154.0,12
1000,srv-c,tB_quiet,6,0,0,127.0,134.0,12
2000,srv-a,tA_noisy,6,29,0,117.0,136.0,14
2000,srv-a,tB_quiet,4,0,0,109.0,112.0,14
2000,srv-b,tA_noisy,7,26,0,119.0,129.0,14
2000,srv-b,tB_quiet,8,0,0,120.0,131.0,14
2000,srv-c,tA_noisy,7,24,0,106.0,137.0,14
2000,srv-c,tB_quiet,3,0,0,132.0,139.0,14
3000,srv-a,tA_noisy,7,34,0,108.0,137.0,16
3000,srv-a,tB_quiet,10,1,0,126.0,141.0,16
3000,srv-b,tA_noisy,8,20,0,116.0,121.0,16
3000,srv-b,tB_quiet,6,0,0,123.0,136.0,16
3000,srv-c,tA_noisy,6,26,0,114.0,137.0,16
3000,srv-c,tB_quiet,7,0,0,103.0,110.0,16
4000,srv-a,tA_noisy,7,31,0,123.0,134.0,17
4000,srv-a,tB_quiet,5,0,0,116.0,127.0,17
4000,srv-b,tA_noisy,6,23,0,128.0,130.0,17
4000,srv-b,tB_quiet,8,0,0,132.0,139.0,17
4000,srv-c,tA_noisy,7,24,0,112.0,127.0,18
4000,srv-c,tB_quiet,4,0,0,139.0,151.0,18
5000,srv-a,tA_noisy,6,32,0,128.0,138.0,19
5000,srv-a,tB_quiet,7,0,0,125.0,132.0,19
5000,srv-b,tA_noisy,7,28,0,122.0,135.0,20
5000,srv-b,tB_quiet,5,0,0,124.0,132.0,20
5000,srv-c,tA_noisy,7,30,0,123.0,129.0,18
5000,srv-c,tB_quiet,5,0,0,124.0,134.0,18
6000,srv-a,tA_noisy,7,12,0,131.0,135.0,19
6000,srv-a,tB_quiet,6,0,0,138.0,139.0,19
6000,srv-b,tA_noisy,7,23,0,108.0,131.0,21
6000,srv-b,tB_quiet,8,0,0,127.0,135.0,21
6000,srv-c,tA_noisy,7,24,0,123.0,136.0,19
6000,srv-c,tB_quiet,8,0,0,122.0,139.0,19
7000,srv-a,tA_noisy,7,30,0,123.0,136.0,20
7000,srv-a,tB_quiet,5,0,0,120.0,136.0,20
7000,srv-b,tA_noisy,8,28,0,119.0,135.0,21
7000,srv-b,tB_quiet,5,0,0,113.0,133.0,21
7000,srv-c,tA_noisy,7,30,0,126.0,139.0,20
7000,srv-c,tB_quiet,9,0,0,127.0,137.0,20
8000,srv-a,tA_noisy,6,23,0,136.0,139.0,22
8000,srv-a,tB_quiet,9,0,0,111.0,139.0,22
8000,srv-b,tA_noisy,7,33,0,121.0,137.0,23
8000,srv-b,tB_quiet,9,0,0,127.0,132.0,23
8000,srv-c,tA_noisy,6,27,0,108.0,136.0,22
8000,srv-c,tB_quiet,7,2,0,116.0,135.0,22
9000,srv-a,tA_noisy,7,29,0,123.0,136.0,22
9000,srv-a,tB_quiet,5,0,0,125.0,136.0,22
9000,srv-b,tA_noisy,5,23,0,118.0,130.0,23
9000,srv-b,tB_quiet,5,0,0,121.0,136.0,23
9000,srv-c,tA_noisy,7,25,0,131.0,132.0,22
9000,srv-c,tB_quiet,6,0,0,114.0,129.0,22
10000,srv-a,tA_noisy,7,20,0,121.0,131.0,24
10000,srv-a,tB_quiet,7,0,0,115.0,133.0,24
10000,srv-b,tA_noisy,9,29,0,125.0,135.0,24
10000,srv-b,tB_quiet,5,0,0,127.0,137.0,24
10000,srv-c,tA_noisy,6,23,0,129.0,139.0,23
10000,srv-c,tB_quiet,6,0,0,117.0,123.0,23
11000,srv-a,tA_noisy,5,18,0,126.0,129.0,24
11000,srv-a,tB_quiet,7,0,0,128.0,138.0,24
11000,srv-b,tA_noisy,7,28,0,130.0,139.0,24
11000,srv-b,tB_quiet,11,0,0,104.0,134.0,24
11000,srv-c,tA_noisy,7,29,0,113.0,116.0,23
11000,srv-c,tB_quiet,9,1,0,127.0,138.0,23
12000,srv-a,tA_noisy,8,26,0,129.0,133.0,25
12000,srv-a,tB_quiet,10,1,0,117.0,122.0,25
12000,srv-b,tA_noisy,6,19,0,130.0,177.0,24
12000,srv-b,tB_quiet,8,0,0,118.0,131.0,24
12000,srv-c,tA_noisy,7,29,0,126.0,138.0,24
12000,srv-c,tB_quiet,7,3,0,136.0,139.0,24
13000,srv-a,tA_noisy,7,38,0,121.0,139.0,25
13000,srv-a,tB_quiet,7,4,0,122.0,139.0,25
13000,srv-b,tA_noisy,7,31,0,120.0,139.0,25
13000,srv-b,tB_quiet,7,2,0,122.0,134.0,25
13000,srv-c,tA_noisy,6,27,0,117.0,129.0,24
13000,srv-c,tB_quiet,2,1,0,108.0,112.0,24
14000,srv-a,tA_noisy,7,25,0,130.0,134.0,27
14000,srv-a,tB_quiet,6,0,0,109.0,138.0,27
14000,srv-b,tA_noisy,6,34,0,131.0,139.0,25
14000,srv-b,tB_quiet,7,4,0,116.0,139.0,25
14000,srv-c,tA_noisy,7,32,0,123.0,139.0,26
14000,srv-c,tB_quiet,5,0,0,117.0,123.0,26
15000,srv-a,tA_noisy,7,22,0,130.0,135.0,27
15000,srv-a,tB_quiet,7,2,0,132.0,139.0,27
15000,srv-b,tA_noisy,7,24,0,118.0,130.0,26
15000,srv-b,tB_quiet,5,0,0,134.0,135.0,26
15000,srv-c,tA_noisy,7,22,0,122.0,139.0,26
15000,srv-c,tB_quiet,6,0,0,134.0,138.0,26
16000,srv-a,tA_noisy,7,29,0,118.0,134.0,28
16000,srv-a,tB_quiet,7,2,0,122.0,139.0,28
16000,srv-b,tA_noisy,7,21,0,110.0,139.0,26
16000,srv-b,tB_quiet,8,1,0,122.0,138.0,26
16000,srv-c,tA_noisy,6,26,0,119.0,133.0,28
16000,srv-c,tB_quiet,4,0,0,123.0,135.0,28
17000,srv-a,tA_noisy,7,36,0,120.0,130.0,28
17000,srv-a,tB_quiet,6,1,0,117.0,132.0,28
17000,srv-b,tA_noisy,6,38,0,131.0,133.0,26
17000,srv-b,tB_quiet,5,3,0,119.0,126.0,26
17000,srv-c,tA_noisy,6,25,0,115.0,139.0,28
17000,srv-c,tB_quiet,9,0,0,121.0,138.0,28
18000,srv-a,tA_noisy,7,21,0,123.0,139.0,30
18000,srv-a,tB_quiet,9,1,0,129.0,139.0,30
18000,srv-b,tA_noisy,6,22,0,118.0,129.0,26
18000,srv-b,tB_quiet,8,1,0,134.0,139.0,26
18000,srv-c,tA_noisy,8,21,0,115.0,134.0,30
18000,srv-c,tB_quiet,6,0,0,114.0,134.0,30
19000,srv-a,tA_noisy,7,26,0,109.0,132.0,30
19000,srv-a,tB_quiet,5,2,0,119.0,139.0,30
19000,srv-b,tA_noisy,6,28,0,117.0,136.0,27
19000,srv-b,tB_quiet,3,1,0,121.0,139.0,27
19000,srv-c,tA_noisy,7,24,0,118.0,135.0,30
19000,srv-c,tB_quiet,4,0,0,119.0,133.0,30
20000,srv-a,tA_noisy,7,20,0,106.0,139.0,33
20000,srv-a,tB_quiet,5,0,0,119.0,139.0,33
20000,srv-b,tA_noisy,6,26,0,124.0,137.0,27
20000,srv-b,tB_quiet,2,0,0,133.0,133.0,27
20000,srv-c,tA_noisy,6,26,0,115.0,150.0,30
20000,srv-c,tB_quiet,7,0,0,113.0,120.0,30
21000,srv-a,tA_noisy,7,35,0,115.0,126.0,33
21000,srv-a,tB_quiet,3,0,0,118.0,126.0,33
21000,srv-b,tA_noisy,7,29,0,124.0,136.0,28
21000,srv-b,tB_quiet,9,0,0,121.0,136.0,28
21000,srv-c,tA_noisy,7,19,0,117.0,135.0,30
21000,srv-c,tB_quiet,9,0,0,110.0,134.0,30
22000,srv-a,tA_noisy,8,27,0,111.0,147.0,31
22000,srv-a,tB_quiet,12,0,0,128.0,176.0,31
22000,srv-b,tA_noisy,6,23,0,122.0,128.0,28
