interval_ms,jain,fleet_rps,p99_max_ms,p99_mean_ms,rps[tA_noisy],rps[tB_quiet]
100,0.9983367983367982,38.5,199.0,135.05357142857142,20.035714285714285,18.464285714285715
250,0.9981376201589214,38.44642857142857,204.0,135.0654761904762,20.053571428571427,18.392857142857142
500,0.9980568138119734,38.44642857142857,203.0,134.89880952380952,20.071428571428573,18.375
1000,0.9983848106905944,38.625,225.0,135.08928571428572,20.089285714285715,18.535714285714285
2000,0.997737556561086,38.625,221.0,135.23809523809524,20.232142857142858,18.392857142857142
5000,0.9950405355363388,39.964285714285715,211.0,135.64285714285714,21.392857142857142,18.571428571428573
