interval_ms,jain,fleet_rps,p99_max_ms,p99_mean_ms,rps[tA],rps[tB]
100,0.9985104399692537,50.857142857142854,2143.0,253.0654761904762,26.410714285714285,24.446428571428573
250,0.9982754915208202,50.267857142857146,1682.0,247.7529761904762,26.178571428571427,24.089285714285715
500,0.9984182472013665,50.69642857142857,1814.0,258.3690476190476,26.357142857142858,24.339285714285715
1000,0.9983799341203129,50.535714285714285,1723.0,253.29761904761904,26.285714285714285,24.25
2000,0.9983297651343932,50.642857142857146,1540.0,249.41071428571428,26.357142857142858,24.285714285714285
5000,0.9979784619332931,50.785714285714285,1746.0,248.61607142857142,26.535714285714285,24.25
