time_ms,server,tenant,accepted,rej_limiter,rej_overload,p50_ms,p99_ms,local_limit
17000,srv-b,tB,12,0,0,129.0,184.0,80
17000,srv-c,tA,10,0,8,9654.0,9890.0,80
17000,srv-c,tB,2,0,13,9909.0,9909.0,80
18000,srv-a,tA,12,1,0,135.0,189.0,80
18000,srv-a,tB,12,0,0,124.0,214.0,80
18000,srv-b,tA,10,0,0,147.0,188.0,80
18000,srv-b,tB,11,0,0,132.0,169.0,80
18000,srv-c,tA,8,0,12,10197.0,10420.0,80
18000,srv-c,tB,3,0,9,10370.0,10370.0,80
19000,srv-a,tA,18,3,0,277.0,342.0,80
19000,srv-a,tB,15,0,0,238.0,317.0,80
19000,srv-b,tA,9,3,0,125.0,157.0,80
19000,srv-b,tB,16,0,0,131.0,171.0,80
19000,srv-c,tA,5,1,9,10652.0,10902.0,80
19000,srv-c,tB,6,0,6,10948.0,11088.0,80
20000,srv-a,tA,14,2,0,283.0,415.0,80
20000,srv-a,tB,19,0,0,291.0,384.0,80
20000,srv-b,tA,18,4,0,137.0,177.0,80
20000,srv-b,tB,13,0,0,141.0,189.0,80
20000,srv-c,tA,7,0,6,11393.0,11706.0,80
20000,srv-c,tB,4,0,9,11638.0,11697.0,80
21000,srv-a,tA,7,2,0,146.0,247.0,80
21000,srv-a,tB,17,0,0,159.0,204.0,80
21000,srv-b,tA,14,1,0,227.0,305.0,80
21000,srv-b,tB,19,0,0,245.0,323.0,80
21000,srv-c,tA,6,2,10,11961.0,12297.0,80
21000,srv-c,tB,4,0,5,12228.0,12257.0,80
22000,srv-a,tA,8,0,0,137.0,185.0,80
22000,srv-a,tB,16,0,0,137.0,163.0,80
22000,srv-b,tA,13,0,0,128.0,340.0,80
22000,srv-b,tB,14,0,0,139.0,384.0,80
22000,srv-c,tA,4,0,3,12393.0,12649.0,80
22000,srv-c,tB,8,0,5,12622.0,12678.0,80
23000,srv-a,tA,11,0,0,116.0,142.0,80
23000,srv-a,tB,16,0,0,121.0,140.0,80
23000,srv-b,tA,9,0,0,130.0,185.0,80
23000,srv-b,tB,10,0,0,139.0,217.0,80
